N_Clients,N_Inputs,Client_Aggr,Client_Veri,Client_Time,Server_Aggr,Server_Veri,Server_Time,Data_Aggr,Data_Veri,Total_Time,Total_Sent
4,62006,2.904,2.86,5.763999999999999,0.009,0.0,0.009,0.5927200317382812,0.0003261566162109375,5.773,2.3721847534179688
10,100000,4.693,4.615,9.308,0.029,0.0,0.029,0.957427978515625,0.0007152557373046875,9.337,9.581432342529297
20,100000,4.717,4.608,9.325,0.065,0.0,0.065,0.9613761901855469,0.0013637542724609375,9.389999999999999,19.254798889160156
30,100000,4.739,4.618,9.357,0.1,0.0,0.1,0.9653244018554688,0.0020122528076171875,9.456999999999999,29.020099639892578
40,100000,4.76,4.6,9.36,0.135,0.0,0.135,0.9692726135253906,0.0026607513427734375,9.495,38.87733459472656
