N_Clients,N_Inputs,AN_Time,AN_Sent,Client_Aggr,Client_Decrypt,Client_Commit,Client_Time,Client_Sent,Server_Aggr,Server_Commit,Server_Time,Server_Sent,Total_Time,Total_Sent
4,62006,0.011682559272369384,0.23660850524902344,0.0034090465231933595,3.552436828613281e-05,97.14054441452026,97.14398898541174,0.23681640625,0.04250335693359375,0.0029218196868896484,0.0454251766204834,0.9462032318115234,97.2010967213046,2.6032943725585938
10,100000,0.01999615234980774,0.3815450668334961,0.004772629959594726,5.4836273193359375e-05,156.03346729278564,156.03829475901844,0.38175296783447266,0.07174396514892578,0.003160238265991211,0.07490420341491699,3.814764976501465,156.13319511478318,8.77692985534668
20,100000,0.023306374964263916,0.3815450668334961,0.004911542715820312,5.698204040527344e-05,163.06480050086975,163.069769025626,0.38175296783447266,0.07616114616394043,0.0034918785095214844,0.07965302467346191,7.629461288452148,163.17272842526373,16.40915584564209
30,100000,0.027405364866661074,0.3815445899963379,0.005410479342529297,6.461143493652344e-05,180.52598357200625,180.5314586627837,0.38175535202026367,0.08038663864135742,0.0036773681640625,0.08406400680541992,11.444159507751465,180.6429280344558,24.04145383834839
40,100000,0.031466158383987426,0.3815441131591797,0.0059677813451538084,6.747245788574219e-05,194.05383849143982,194.05987374524287,0.38175249099731445,0.08396792411804199,0.004025697708129883,0.08799362182617188,15.258855819702148,194.17933352545302,31.673587799072266
