vOLE Recv: 132.849 seconds, 9676.8 MB
vOLE Recv: 143.602 seconds, 9676.8 MB
vOLE Recv: 145.849 seconds, 9676.8 MB
vOLE Recv: 149.662 seconds, 9676.8 MB
vOLE Recv: 149.873 seconds, 9676.8 MB
vOLE Recv: 150.641 seconds, 9676.8 MB
vOLE Recv: 151.304 seconds, 9676.8 MB
vOLE Recv: 151.499 seconds, 9676.8 MB
vOLE Recv: 151.731 seconds, 9676.8 MB
vOLE Recv: 151.851 seconds, 9676.8 MB
vOLE Recv: 152.065 seconds, 9676.8 MB
vOLE Recv: 152.999 seconds, 9676.8 MB
vOLE Recv: 152.956 seconds, 9676.8 MB
vOLE Recv: 155.171 seconds, 9676.8 MB
vOLE Recv: 155.765 seconds, 9676.8 MB
vOLE Recv: 155.896 seconds, 9676.8 MB
vOLE Recv: 155.999 seconds, 9676.8 MB
vOLE Recv: 158.819 seconds, 9676.8 MB
vOLE Recv: 159.589 seconds, 9676.8 MB
vOLE Recv: 160.884 seconds, 9676.8 MB

Server 0 Input Commitment DisHonest:
Total Time = 161.433 seconds
Receiving directly 193536 MB in 1262 rounds, taking 2602.22 seconds
Sending directly 0.00064 MB in 2 rounds, taking 0 seconds
vOLE Recv: 135.268 seconds, 9676.8 MB
vOLE Recv: 136.833 seconds, 9676.8 MB
vOLE Recv: 140.862 seconds, 9676.8 MB
vOLE Recv: 147.753 seconds, 9676.8 MB
vOLE Recv: 148.757 seconds, 9676.8 MB
vOLE Recv: 149.971 seconds, 9676.8 MB
vOLE Recv: 150.104 seconds, 9676.8 MB
vOLE Recv: 150.257 seconds, 9676.8 MB
vOLE Recv: 150.595 seconds, 9676.8 MB
vOLE Recv: 152.975 seconds, 9676.8 MB
vOLE Recv: 154.288 seconds, 9676.8 MB
vOLE Recv: 155.164 seconds, 9676.8 MB
vOLE Recv: 155.556 seconds, 9676.8 MB
vOLE Recv: 155.553 seconds, 9676.8 MB
vOLE Recv: 157.065 seconds, 9676.8 MB
vOLE Recv: 156.996 seconds, 9676.8 MB
vOLE Recv: 158.4 seconds, 9676.8 MB
vOLE Recv: 158.846 seconds, 9676.8 MB
vOLE Recv: 159.266 seconds, 9676.8 MB
vOLE Recv: 159.371 seconds, 9676.8 MB

Server 0 Input Commitment DisHonest:
Total Time = 160.041 seconds
Receiving directly 193536 MB in 1262 rounds, taking 2601.98 seconds
Sending directly 0.00064 MB in 2 rounds, taking 0 seconds
vOLE Recv: 140.021 seconds, 9676.8 MB
