vOLE Recv: 104.921 seconds, 3225.6 MB
vOLE Recv: 105.133 seconds, 3225.6 MB
vOLE Recv: 105.223 seconds, 3225.6 MB
vOLE Recv: 105.325 seconds, 3225.6 MB
vOLE Recv: 105.548 seconds, 3225.6 MB
vOLE Recv: 106.937 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 107.381 seconds
Receiving directly 129024 MB in 2522 rounds, taking 3602.92 seconds
Sending directly 0.00128 MB in 2 rounds, taking 0 seconds
vOLE Recv: 88.0497 seconds, 3225.6 MB
vOLE Recv: 90.0932 seconds, 3225.6 MB
vOLE Recv: 92.0681 seconds, 3225.6 MB
vOLE Recv: 93.3266 seconds, 3225.6 MB
vOLE Recv: 95.8323 seconds, 3225.6 MB
vOLE Recv: 97.2582 seconds, 3225.6 MB
vOLE Recv: 98.4804 seconds, 3225.6 MB
vOLE Recv: 98.7385 seconds, 3225.6 MB
vOLE Recv: 99.2307 seconds, 3225.6 MB
vOLE Recv: 99.2466 seconds, 3225.6 MB
vOLE Recv: 99.6792 seconds, 3225.6 MB
vOLE Recv: 99.7409 seconds, 3225.6 MB
vOLE Recv: 99.7813 seconds, 3225.6 MB
vOLE Recv: 99.7128 seconds, 3225.6 MB
vOLE Recv: 100.03 seconds, 3225.6 MB
vOLE Recv: 100.274 seconds, 3225.6 MB
vOLE Recv: 100.698 seconds, 3225.6 MB
vOLE Recv: 101.069 seconds, 3225.6 MB
vOLE Recv: 101.243 seconds, 3225.6 MB
vOLE Recv: 101.983 seconds, 3225.6 MB
vOLE Recv: 102.377 seconds, 3225.6 MB
vOLE Recv: 102.803 seconds, 3225.6 MB
vOLE Recv: 103.055 seconds, 3225.6 MB
vOLE Recv: 103.315 seconds, 3225.6 MB
vOLE Recv: 103.601 seconds, 3225.6 MB
vOLE Recv: 103.833 seconds, 3225.6 MB
vOLE Recv: 103.994 seconds, 3225.6 MB
vOLE Recv: 104.069 seconds, 3225.6 MB
vOLE Recv: 103.94 seconds, 3225.6 MB
vOLE Recv: 104.315 seconds, 3225.6 MB
vOLE Recv: 104.614 seconds, 3225.6 MB
vOLE Recv: 104.807 seconds, 3225.6 MB
vOLE Recv: 105.16 seconds, 3225.6 MB
vOLE Recv: 105.315 seconds, 3225.6 MB
vOLE Recv: 105.45 seconds, 3225.6 MB
vOLE Recv: 105.449 seconds, 3225.6 MB
vOLE Recv: 105.563 seconds, 3225.6 MB
vOLE Recv: 105.689 seconds, 3225.6 MB
vOLE Recv: 106.032 seconds, 3225.6 MB
vOLE Recv: 106.384 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 106.649 seconds
Receiving directly 129024 MB in 2522 rounds, taking 3653.25 seconds
Sending directly 0.00128 MB in 2 rounds, taking 0 seconds
vOLE Recv: 86.639 seconds, 3225.6 MB
vOLE Recv: 86.915 seconds, 3225.6 MB
vOLE Recv: 90.3335 seconds, 3225.6 MB
vOLE Recv: 90.6846 seconds, 3225.6 MB
vOLE Recv: 91.4271 seconds, 3225.6 MB
vOLE Recv: 93.4041 seconds, 3225.6 MB
vOLE Recv: 93.3965 seconds, 3225.6 MB
vOLE Recv: 94.4669 seconds, 3225.6 MB
vOLE Recv: 94.62 seconds, 3225.6 MB
vOLE Recv: 95.9825 seconds, 3225.6 MB
vOLE Recv: 96.7914 seconds, 3225.6 MB
vOLE Recv: 97.2091 seconds, 3225.6 MB
vOLE Recv: 97.4936 seconds, 3225.6 MB
vOLE Recv: 98.8715 seconds, 3225.6 MB
vOLE Recv: 99.2807 seconds, 3225.6 MB
vOLE Recv: 100.244 seconds, 3225.6 MB
vOLE Recv: 100.916 seconds, 3225.6 MB
vOLE Recv: 101.593 seconds, 3225.6 MB
vOLE Recv: 101.987 seconds, 3225.6 MB
vOLE Recv: 102.154 seconds, 3225.6 MB
vOLE Recv: 102.271 seconds, 3225.6 MB
vOLE Recv: 103.571 seconds, 3225.6 MB
vOLE Recv: 103.744 seconds, 3225.6 MB
vOLE Recv: 103.858 seconds, 3225.6 MB
vOLE Recv: 104.03 seconds, 3225.6 MB
