vOLE Recv: 278.277 seconds, 9676.8 MB
vOLE Recv: 279.357 seconds, 9676.8 MB
vOLE Recv: 288.773 seconds, 9676.8 MB
vOLE Recv: 294.17 seconds, 9676.8 MB
vOLE Recv: 296.222 seconds, 9676.8 MB
vOLE Recv: 296.485 seconds, 9676.8 MB
vOLE Recv: 297.781 seconds, 9676.8 MB
vOLE Recv: 300.335 seconds, 9676.8 MB
vOLE Recv: 302.837 seconds, 9676.8 MB
vOLE Recv: 303.162 seconds, 9676.8 MB
vOLE Recv: 305.294 seconds, 9676.8 MB
vOLE Recv: 305.079 seconds, 9676.8 MB
vOLE Recv: 305.355 seconds, 9676.8 MB
vOLE Recv: 306.624 seconds, 9676.8 MB
vOLE Recv: 306.835 seconds, 9676.8 MB
vOLE Recv: 307.673 seconds, 9676.8 MB
vOLE Recv: 308.741 seconds, 9676.8 MB
vOLE Recv: 309.868 seconds, 9676.8 MB
vOLE Recv: 311.531 seconds, 9676.8 MB
vOLE Recv: 311.737 seconds, 9676.8 MB
vOLE Recv: 312.238 seconds, 9676.8 MB
vOLE Recv: 314.644 seconds, 9676.8 MB
vOLE Recv: 314.753 seconds, 9676.8 MB
vOLE Recv: 315.496 seconds, 9676.8 MB
vOLE Recv: 315.636 seconds, 9676.8 MB
vOLE Recv: 315.911 seconds, 9676.8 MB
vOLE Recv: 316.293 seconds, 9676.8 MB
vOLE Recv: 317.504 seconds, 9676.8 MB
vOLE Recv: 317.601 seconds, 9676.8 MB
vOLE Recv: 318.195 seconds, 9676.8 MB
vOLE Recv: 317.974 seconds, 9676.8 MB
vOLE Recv: 318.163 seconds, 9676.8 MB
vOLE Recv: 318.83 seconds, 9676.8 MB
vOLE Recv: 319.178 seconds, 9676.8 MB
vOLE Recv: 320.674 seconds, 9676.8 MB
vOLE Recv: 321.399 seconds, 9676.8 MB
vOLE Recv: 321.654 seconds, 9676.8 MB
vOLE Recv: 322.881 seconds, 9676.8 MB
vOLE Recv: 323.741 seconds, 9676.8 MB
vOLE Recv: 324.039 seconds, 9676.8 MB

Server 0 Input Commitment DisHonest:
Total Time = 325.203 seconds
Receiving directly 387072 MB in 2522 rounds, taking 11054 seconds
Sending directly 0.00128 MB in 2 rounds, taking 0 seconds
vOLE Recv: 278.446 seconds, 9676.8 MB
vOLE Recv: 285.655 seconds, 9676.8 MB
vOLE Recv: 286.042 seconds, 9676.8 MB
vOLE Recv: 287.43 seconds, 9676.8 MB
vOLE Recv: 287.89 seconds, 9676.8 MB
vOLE Recv: 291.727 seconds, 9676.8 MB
vOLE Recv: 293.697 seconds, 9676.8 MB
vOLE Recv: 296.308 seconds, 9676.8 MB
vOLE Recv: 297.038 seconds, 9676.8 MB
vOLE Recv: 298.71 seconds, 9676.8 MB
vOLE Recv: 299.377 seconds, 9676.8 MB
vOLE Recv: 299.688 seconds, 9676.8 MB
vOLE Recv: 300.394 seconds, 9676.8 MB
vOLE Recv: 305.206 seconds, 9676.8 MB
vOLE Recv: 306.236 seconds, 9676.8 MB
vOLE Recv: 306.858 seconds, 9676.8 MB
vOLE Recv: 306.989 seconds, 9676.8 MB
vOLE Recv: 308.202 seconds, 9676.8 MB
vOLE Recv: 309.922 seconds, 9676.8 MB
vOLE Recv: 310.011 seconds, 9676.8 MB
vOLE Recv: 310.533 seconds, 9676.8 MB
vOLE Recv: 312.229 seconds, 9676.8 MB
vOLE Recv: 312.511 seconds, 9676.8 MB
vOLE Recv: 314.073 seconds, 9676.8 MB
vOLE Recv: 314.637 seconds, 9676.8 MB
vOLE Recv: 316.581 seconds, 9676.8 MB
vOLE Recv: 317.32 seconds, 9676.8 MB
vOLE Recv: 318.667 seconds, 9676.8 MB
vOLE Recv: 318.673 seconds, 9676.8 MB
vOLE Recv: 318.981 seconds, 9676.8 MB
vOLE Recv: 319.34 seconds, 9676.8 MB
vOLE Recv: 319.404 seconds, 9676.8 MB
vOLE Recv: 319.503 seconds, 9676.8 MB
vOLE Recv: 319.711 seconds, 9676.8 MB
vOLE Recv: 320.668 seconds, 9676.8 MB
vOLE Recv: 321.42 seconds, 9676.8 MB
vOLE Recv: 321.727 seconds, 9676.8 MB
