vOLE Recv: 38.8166 seconds, 3225.6 MB
vOLE Recv: 38.8365 seconds, 3225.6 MB
vOLE Recv: 39.0842 seconds, 3225.6 MB
vOLE Recv: 39.2812 seconds, 3225.6 MB
vOLE Recv: 39.356 seconds, 3225.6 MB
vOLE Recv: 39.5133 seconds, 3225.6 MB
vOLE Recv: 39.6367 seconds, 3225.6 MB
vOLE Recv: 39.6232 seconds, 3225.6 MB
vOLE Recv: 39.6357 seconds, 3225.6 MB
vOLE Recv: 39.7695 seconds, 3225.6 MB
vOLE Recv: 39.9237 seconds, 3225.6 MB
vOLE Recv: 39.9164 seconds, 3225.6 MB
vOLE Recv: 39.8522 seconds, 3225.6 MB
vOLE Recv: 39.9535 seconds, 3225.6 MB
vOLE Recv: 40.0572 seconds, 3225.6 MB
terminate called after throwing an instance of 'closed_connection'
terminate called recursively
vOLE Recv: vOLE Recv: 77.0982 seconds, 3225.6 MB
77.2757 seconds, 3225.6 MB
vOLE Recv: 79.0521 seconds, 3225.6 MB
vOLE Recv: 79.9964 seconds, 3225.6 MB
vOLE Recv: 80.2359 seconds, 3225.6 MB
vOLE Recv: 80.2691 seconds, 3225.6 MB
vOLE Recv: 80.3814 seconds, 3225.6 MB
vOLE Recv: 80.9092 seconds, 3225.6 MB
vOLE Recv: 80.9755 seconds, 3225.6 MB
vOLE Recv: 81.0309 seconds, 3225.6 MB
vOLE Recv: 81.0942 seconds, 3225.6 MB
vOLE Recv: 81.2246 seconds, 3225.6 MB
vOLE Recv: 81.2082 seconds, 3225.6 MB
vOLE Recv: 81.371 seconds, 3225.6 MB
vOLE Recv: 81.5531 seconds, 3225.6 MB
vOLE Recv: 81.8523 seconds, 3225.6 MB
vOLE Recv: 81.798 seconds, 3225.6 MB
vOLE Recv: 81.967 seconds, 3225.6 MB
vOLE Recv: 82.1049 seconds, 3225.6 MB
vOLE Recv: 82.1693 seconds, 3225.6 MB
vOLE Recv: 82.3839 seconds, 3225.6 MB
vOLE Recv: 82.4505 seconds, 3225.6 MB
vOLE Recv: 82.5144 seconds, 3225.6 MB
vOLE Recv: 82.5068 seconds, 3225.6 MB
vOLE Recv: 82.5562 seconds, 3225.6 MB
vOLE Recv: 82.5327 seconds, 3225.6 MB
vOLE Recv: 82.7447 seconds, 3225.6 MB
vOLE Recv: 82.7552 seconds, 3225.6 MB
vOLE Recv: 82.8732 seconds, 3225.6 MB
vOLE Recv: 82.9877 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 83.3382 seconds
Receiving directly 96768 MB in 1892 rounds, taking 316.636 seconds
Sending directly 0.00096 MB in 2 rounds, taking 0 seconds
vOLE Recv: 76.8882 seconds, 3225.6 MB
vOLE Recv: 78.1168 seconds, 3225.6 MB
vOLE Recv: 78.2187 seconds, 3225.6 MB
vOLE Recv: 78.7584 seconds, 3225.6 MB
vOLE Recv: 79.8899 seconds, 3225.6 MB
vOLE Recv: 79.8849 seconds, 3225.6 MB
vOLE Recv: 80.0027 seconds, 3225.6 MB
vOLE Recv: 80.1649 seconds, 3225.6 MB
vOLE Recv: 80.1907 seconds, 3225.6 MB
vOLE Recv: 80.2965 seconds, 3225.6 MB
vOLE Recv: 81.0329 seconds, 3225.6 MB
vOLE Recv: 81.2445 seconds, 3225.6 MB
vOLE Recv: 81.1451 seconds, 3225.6 MB
vOLE Recv: 81.4104 seconds, 3225.6 MB
vOLE Recv: 81.709 seconds, 3225.6 MB
vOLE Recv: 81.8457 seconds, 3225.6 MB
vOLE Recv: 81.8906 seconds, 3225.6 MB
vOLE Recv: 82.0066 seconds, 3225.6 MB
vOLE Recv: 81.9916 seconds, 3225.6 MB
vOLE Recv: 82.2796 seconds, 3225.6 MB
vOLE Recv: 82.3848 seconds, 3225.6 MB
vOLE Recv: 82.543 seconds, 3225.6 MB
vOLE Recv: 82.5615 seconds, 3225.6 MB
vOLE Recv: 82.6574 seconds, 3225.6 MB
vOLE Recv: 82.8435 seconds, 3225.6 MB
vOLE Recv: 82.7514 seconds, 3225.6 MB
vOLE Recv: 82.7608 seconds, 3225.6 MB
vOLE Recv: 82.8086 seconds, 3225.6 MB
vOLE Recv: 82.9034 seconds, 3225.6 MB
vOLE Recv: 82.9277 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 83.2653 seconds
Receiving directly 96768 MB in 1892 rounds, taking 329.891 seconds
Sending directly 0.00096 MB in 2 rounds, taking 0 seconds
vOLE Recv: 78.6172 seconds, 3225.6 MB
vOLE Recv: 78.6675 seconds, 3225.6 MB
vOLE Recv: 79.2553 seconds, 3225.6 MB
vOLE Recv: 79.6424 seconds, 3225.6 MB
vOLE Recv: 79.7493 seconds, 3225.6 MB
vOLE Recv: 79.7304 seconds, 3225.6 MB
vOLE Recv: 79.6993 seconds, 3225.6 MB
vOLE Recv: 79.8705 seconds, 3225.6 MB
vOLE Recv: 80.0622 seconds, 3225.6 MB
vOLE Recv: 80.407 seconds, 3225.6 MB
vOLE Recv: 80.686 seconds, 3225.6 MB
vOLE Recv: 81.4354 seconds, 3225.6 MB
vOLE Recv: 81.4685 seconds, 3225.6 MB
vOLE Recv: 81.5968 seconds, 3225.6 MB
vOLE Recv: 81.573 seconds, 3225.6 MB
vOLE Recv: 81.8636 seconds, 3225.6 MB
vOLE Recv: 81.6295 seconds, 3225.6 MB
vOLE Recv: 81.9034 seconds, 3225.6 MB
vOLE Recv: 82.4236 seconds, 3225.6 MB
vOLE Recv: 82.5093 seconds, 3225.6 MB
vOLE Recv: 82.4638 seconds, 3225.6 MB
vOLE Recv: 82.3934 seconds, 3225.6 MB
vOLE Recv: 82.5998 seconds, 3225.6 MB
vOLE Recv: 82.7525 seconds, 3225.6 MB
vOLE Recv: 82.9079 seconds, 3225.6 MB
vOLE Recv: 82.7578 seconds, 3225.6 MB
vOLE Recv: 83.0886 seconds, 3225.6 MB
vOLE Recv: 83.0552 seconds, 3225.6 MB
vOLE Recv: 83.2482 seconds, 3225.6 MB
vOLE Recv: 83.2026 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 83.5652 seconds
Receiving directly 96716.8 MB in 1891 rounds, taking 308.885 seconds
Sending directly 0.00096 MB in 2 rounds, taking 0 seconds
vOLE Recv: 76.5343 seconds, 3225.6 MB
vOLE Recv: 77.7218 seconds, 3225.6 MB
vOLE Recv: 78.6852 seconds, 3225.6 MB
vOLE Recv: 79.3614 seconds, 3225.6 MB
vOLE Recv: 79.9911 seconds, 3225.6 MB
vOLE Recv: 80.0326 seconds, 3225.6 MB
vOLE Recv: 80.072 seconds, 3225.6 MB
vOLE Recv: 80.0538 seconds, 3225.6 MB
vOLE Recv: 80.2212 seconds, 3225.6 MB
