vOLE Recv: 49.5365 seconds, 3225.6 MB
vOLE Recv: 50.3288 seconds, 3225.6 MB
vOLE Recv: 50.6273 seconds, 3225.6 MB
vOLE Recv: 51.2221 seconds, 3225.6 MB
vOLE Recv: 51.8987 seconds, 3225.6 MB
vOLE Recv: 51.9882 seconds, 3225.6 MB
vOLE Recv: 52.075 seconds, 3225.6 MB
vOLE Recv: 52.3105 seconds, 3225.6 MB
vOLE Recv: 52.7273 seconds, 3225.6 MB
vOLE Recv: 52.8079 seconds, 3225.6 MB
vOLE Recv: 53.0564 seconds, 3225.6 MB
vOLE Recv: 53.2185 seconds, 3225.6 MB
vOLE Recv: 53.1277 seconds, 3225.6 MB
vOLE Recv: 53.2591 seconds, 3225.6 MB
vOLE Recv: 53.2957 seconds, 3225.6 MB
vOLE Recv: 53.3696 seconds, 3225.6 MB
vOLE Recv: 53.5428 seconds, 3225.6 MB
vOLE Recv: 53.7303 seconds, 3225.6 MB
vOLE Recv: 53.8013 seconds, 3225.6 MB
vOLE Recv: 53.9166 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 54.1505 seconds
Receiving directly 64460.8 MB in 1261 rounds, taking 219.57 seconds
Sending directly 0.00064 MB in 2 rounds, taking 0 seconds
vOLE Recv: 49.1409 seconds, 3225.6 MB
vOLE Recv: 50.7673 seconds, 3225.6 MB
vOLE Recv: 51.2743 seconds, 3225.6 MB
vOLE Recv: 51.3182 seconds, 3225.6 MB
vOLE Recv: 51.5171 seconds, 3225.6 MB
vOLE Recv: 52.0837 seconds, 3225.6 MB
vOLE Recv: 52.4814 seconds, 3225.6 MB
vOLE Recv: 52.5908 seconds, 3225.6 MB
vOLE Recv: 52.62 seconds, 3225.6 MB
vOLE Recv: 52.6918 seconds, 3225.6 MB
vOLE Recv: 52.7494 seconds, 3225.6 MB
vOLE Recv: 53.0539 seconds, 3225.6 MB
vOLE Recv: 53.188 seconds, 3225.6 MB
vOLE Recv: 53.2428 seconds, 3225.6 MB
vOLE Recv: 53.2343 seconds, 3225.6 MB
vOLE Recv: 53.3334 seconds, 3225.6 MB
vOLE Recv: 53.5152 seconds, 3225.6 MB
vOLE Recv: 53.6899 seconds, 3225.6 MB
vOLE Recv: 53.8858 seconds, 3225.6 MB
vOLE Recv: 53.8345 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 54.1382 seconds
Receiving directly 64512 MB in 1262 rounds, taking 215.696 seconds
Sending directly 0.00064 MB in 2 rounds, taking 0 seconds
vOLE Recv: 49.1292 seconds, 3225.6 MB
vOLE Recv: 50.8615 seconds, 3225.6 MB
vOLE Recv: 51.1127 seconds, 3225.6 MB
vOLE Recv: 52.0298 seconds, 3225.6 MB
vOLE Recv: 52.0606 seconds, 3225.6 MB
vOLE Recv: 52.1627 seconds, 3225.6 MB
vOLE Recv: 52.5278 seconds, 3225.6 MB
vOLE Recv: 52.5748 seconds, 3225.6 MB
vOLE Recv: 52.8571 seconds, 3225.6 MB
vOLE Recv: 52.8526 seconds, 3225.6 MB
vOLE Recv: 52.8205 seconds, 3225.6 MB
vOLE Recv: 52.9337 seconds, 3225.6 MB
vOLE Recv: 52.9497 seconds, 3225.6 MB
vOLE Recv: 53.4476 seconds, 3225.6 MB
vOLE Recv: 53.4675 seconds, 3225.6 MB
vOLE Recv: 53.5779 seconds, 3225.6 MB
vOLE Recv: 53.6168 seconds, 3225.6 MB
vOLE Recv: 53.6957 seconds, 3225.6 MB
vOLE Recv: 53.7281 seconds, 3225.6 MB
vOLE Recv: 53.8099 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 54.1026 seconds
Receiving directly 64512 MB in 1262 rounds, taking 218.457 seconds
Sending directly 0.00064 MB in 2 rounds, taking 0 seconds
vOLE Recv: 50.4372 seconds, 3225.6 MB
vOLE Recv: 50.5746 seconds, 3225.6 MB
vOLE Recv: 51.7272 seconds, 3225.6 MB
vOLE Recv: 51.8656 seconds, 3225.6 MB
vOLE Recv: 51.9026 seconds, 3225.6 MB
vOLE Recv: 52.432 seconds, 3225.6 MB
vOLE Recv: 52.5358 seconds, 3225.6 MB
vOLE Recv: 52.572 seconds, 3225.6 MB
vOLE Recv: 52.5953 seconds, 3225.6 MB
vOLE Recv: 52.9599 seconds, 3225.6 MB
vOLE Recv: 53.1024 seconds, 3225.6 MB
vOLE Recv: 53.1829 seconds, 3225.6 MB
vOLE Recv: 53.3395 seconds, 3225.6 MB
vOLE Recv: 53.4994 seconds, 3225.6 MB
vOLE Recv: 53.6521 seconds, 3225.6 MB
vOLE Recv: 53.6984 seconds, 3225.6 MB
vOLE Recv: 53.8359 seconds, 3225.6 MB
vOLE Recv: 53.8287 seconds, 3225.6 MB
vOLE Recv: 53.9317 seconds, 3225.6 MB
vOLE Recv: 53.8973 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 54.2289 seconds
Receiving directly 64512 MB in 1262 rounds, taking 210.393 seconds
Sending directly 0.00064 MB in 2 rounds, taking 0 seconds
vOLE Recv: 51.1675 seconds, 3225.6 MB
vOLE Recv: 51.5084 seconds, 3225.6 MB
vOLE Recv: 51.5759 seconds, 3225.6 MB
vOLE Recv: 51.9124 seconds, 3225.6 MB
vOLE Recv: 51.9947 seconds, 3225.6 MB
vOLE Recv: 52.1637 seconds, 3225.6 MB
vOLE Recv: 52.2773 seconds, 3225.6 MB
vOLE Recv: 52.4039 seconds, 3225.6 MB
vOLE Recv: 52.4021 seconds, 3225.6 MB
vOLE Recv: 53.0572 seconds, 3225.6 MB
vOLE Recv: 53.0497 seconds, 3225.6 MB
vOLE Recv: 53.0761 seconds, 3225.6 MB
vOLE Recv: 53.1203 seconds, 3225.6 MB
vOLE Recv: 53.3812 seconds, 3225.6 MB
vOLE Recv: 53.5797 seconds, 3225.6 MB
vOLE Recv: 53.5464 seconds, 3225.6 MB
vOLE Recv: 53.5272 seconds, 3225.6 MB
vOLE Recv: 53.761 seconds, 3225.6 MB
vOLE Recv: 53.8868 seconds, 3225.6 MB
vOLE Recv: 53.8945 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 54.1403 seconds
Receiving directly 64512 MB in 1262 rounds, taking 213.031 seconds
Sending directly 0.00064 MB in 2 rounds, taking 0 seconds
