vOLE Recv: 207.76 seconds, 9676.8 MB
vOLE Recv: 207.761 seconds, 9676.8 MB
vOLE Recv: 209.694 seconds, 9676.8 MB
vOLE Recv: 209.737 seconds, 9676.8 MB
vOLE Recv: 216.742 seconds, 9676.8 MB
vOLE Recv: 219.955 seconds, 9676.8 MB
vOLE Recv: 220.848 seconds, 9676.8 MB
vOLE Recv: 224.417 seconds, 9676.8 MB
vOLE Recv: 224.976 seconds, 9676.8 MB
vOLE Recv: 225.909 seconds, 9676.8 MB
vOLE Recv: 226.706 seconds, 9676.8 MB
vOLE Recv: 227.468 seconds, 9676.8 MB
vOLE Recv: 228.117 seconds, 9676.8 MB
vOLE Recv: 228.368 seconds, 9676.8 MB
vOLE Recv: 229.658 seconds, 9676.8 MB
vOLE Recv: 229.934 seconds, 9676.8 MB
vOLE Recv: 230.295 seconds, 9676.8 MB
vOLE Recv: 230.609 seconds, 9676.8 MB
vOLE Recv: 231.558 seconds, 9676.8 MB
vOLE Recv: 232.303 seconds, 9676.8 MB
vOLE Recv: 233.168 seconds, 9676.8 MB
vOLE Recv: 235.087 seconds, 9676.8 MB
vOLE Recv: 235.493 seconds, 9676.8 MB
vOLE Recv: 235.926 seconds, 9676.8 MB
vOLE Recv: 236.132 seconds, 9676.8 MB
vOLE Recv: 236.268 seconds, 9676.8 MB
vOLE Recv: 238.071 seconds, 9676.8 MB
vOLE Recv: 238.123 seconds, 9676.8 MB
vOLE Recv: 238.718 seconds, 9676.8 MB
vOLE Recv: 239.733 seconds, 9676.8 MB

Server 0 Input Commitment DisHonest:
Total Time = 240.488 seconds
Receiving directly 290304 MB in 1892 rounds, taking 5990.91 seconds
Sending directly 0.00096 MB in 2 rounds, taking 0 seconds
vOLE Recv: 203.436 seconds, 9676.8 MB
vOLE Recv: 213.083 seconds, 9676.8 MB
vOLE Recv: 215.659 seconds, 9676.8 MB
vOLE Recv: 218.071 seconds, 9676.8 MB
vOLE Recv: 219.747 seconds, 9676.8 MB
vOLE Recv: 220.168 seconds, 9676.8 MB
vOLE Recv: 221.485 seconds, 9676.8 MB
vOLE Recv: 222.547 seconds, 9676.8 MB
vOLE Recv: 222.836 seconds, 9676.8 MB
vOLE Recv: 223.945 seconds, 9676.8 MB
vOLE Recv: 226.23 seconds, 9676.8 MB
vOLE Recv: 226.121 seconds, 9676.8 MB
vOLE Recv: 228.663 seconds, 9676.8 MB
vOLE Recv: 229.091 seconds, 9676.8 MB
vOLE Recv: 229.331 seconds, 9676.8 MB
vOLE Recv: 230.331 seconds, 9676.8 MB
vOLE Recv: 230.762 seconds, 9676.8 MB
vOLE Recv: 230.902 seconds, 9676.8 MB
vOLE Recv: 231.788 seconds, 9676.8 MB
vOLE Recv: 232.926 seconds, 9676.8 MB
vOLE Recv: 235.015 seconds, 9676.8 MB
vOLE Recv: 235.025 seconds, 9676.8 MB
vOLE Recv: 235.728 seconds, 9676.8 MB
vOLE Recv: 235.723 seconds, 9676.8 MB
vOLE Recv: 236.29 seconds, 9676.8 MB
vOLE Recv: 236.952 seconds, 9676.8 MB
vOLE Recv: 237.444 seconds, 9676.8 MB
vOLE Recv: 237.833 seconds, 9676.8 MB
vOLE Recv: 238.799 seconds, 9676.8 MB
vOLE Recv: 239.472 seconds, 9676.8 MB

Server 0 Input Commitment DisHonest:
Total Time = 240.135 seconds
Receiving directly 290304 MB in 1892 rounds, taking 6006.09 seconds
Sending directly 0.00096 MB in 2 rounds, taking 0 seconds
vOLE Recv: 208.581 seconds, 9676.8 MB
vOLE Recv: 209.855 seconds, 9676.8 MB
vOLE Recv: 209.997 seconds, 9676.8 MB
vOLE Recv: 220.379 seconds, 9676.8 MB
vOLE Recv: 220.823 seconds, 9676.8 MB
vOLE Recv: 222.815 seconds, 9676.8 MB
vOLE Recv: 223.042 seconds, 9676.8 MB
